slug,country,solutions_tag,skip,note
abt-associates-vaccine-hesitancy-cbos,United States,Immunizations|Non-Communicable Diseases,,sickle cell population
addressing-vermonts-housing-crisis-through-a-targeted-tech-driven-approach,United States,,,
banyan-global-empleando-futuros,,Livelihoods,,Empleando Futuros = youth employment / livelihoods
covid-19-aws-contact-tracing,United States,,,
covid-19-equitable-vaccine-delivery,None,,,not US (global perspective on vaccine delivery)
ecd-digital-transformation,South Africa,Early Childhood Development|Education,,"FCW early childhood development, South Africa; focus-area from partner-story link 2026-06-10"
givewell-awards-dimagi-funding-to-enhance-child-health-service-delivery-in-nigeria,Nigeria,Child Health,,
gorongosa-national-park-mozambique-nutrition-behavioral-change-sms,Mozambique,Cash & Voucher Assistance|Nutrition|Remote Engagement,,SMS behavior-change program; nutrition sector + remote engagement use case
infomovel-commcare-hiv-tb-patient-tracking,Mozambique,Infectious Disease Prevention & Control|Primary Care,,"Infomovel, Mozambique; focus-area from partner-story link 2026-06-10"
irc-data-fragmentation-standardization-case-study,Multiple countries,Humanitarian Response|Monitoring & Evaluation,,International Rescue Committee = humanitarian
jsi-government-of-ethiopia-and-usaid-digital-health-activity,Ethiopia,Community Health|Maternal & Newborn Health|Child Health,,government digital health activity; focus-area from partner-story link 2026-06-10
lwala-commcare-improving-vaccination-rates,Kenya,Immunizations|Maternal & Newborn Health|Primary Care|Workforce Management,,Lwala Community Alliance is in Kenya; focus-area from partner-story link 2026-06-10
malaria-consortium-upscale-iccm-child-health,Mozambique,Community Health|Child Health,,"upSCALE program, Mozambique; focus-area from partner-story link 2026-06-10"
malawi-ministry-of-health-cstock-supply-chain-management-application,,,,Ministry of Health program
mhp-salud-integrated-community-health,United States,Community Health|Non-Communicable Diseases|Primary Care|Service Delivery,,diabetes; focus-area from partner-story link 2026-06-10
naatal-mbay-commcare-agricultural-support,Senegal,Agriculture|Livelihoods,,focus-area from partner-story link 2026-06-10
namaste,India,Mental Health|Research,,neurodevelopment & autism
national-institutes-of-health-survivorcare-phase-ii,United States,,,"NIH, US"
pathfinder-youth-voices-for-agency-and-access-yuvaa-india,India,,,
rti-international-usaid-iecd-activity,Cambodia,Early Childhood Development,,IECD = Integrated Early Childhood Development (Cambodia)
sf-ucsf-contact-tracing-announcement,United States,,,
tech-enabled-approach-to-community-health-care,United States,Community Health|Non-Communicable Diseases,,chronic conditions
terre-des-hommes-ediagnostic-child-health,Burkina Faso,Child Health|Primary Care,,"Tdh IeDA program, Burkina Faso; focus-area from partner-story link 2026-06-10"
teuk-saat-1001-local-ownership,Cambodia,"Water, Sanitation, & Hygiene",,"Teuk Saat 1001 = safe-water social enterprise (WASH), Cambodia"
three-digital-tools-for-behavioral-health,United States,,,
tulasalud-commcare-community-health,Guatemala,Community Health|Maternal & Newborn Health|Child Health|Service Delivery,,TulaSalud operates in Guatemala; focus-area from partner-story link 2026-06-10; +Child Health (Child Health sector partner story) 2026-06-11
usaid-div-and-dimagi-partner-to-enhance-child-health,Nigeria,Child Health,,
vermont-care-network,,Mental Health,,opioid use disorder via video DOT
20-years-of-designing-under-the-mango-tree,,,yes,
2024-year-in-review,,,yes,
4-reasons-to-jump-into-a-social-impact-career-now,,,yes,
bao-systems-and-dimagi-announce-integration-partnership,,,yes,
behind-our-b,,,yes,
building-a-culture-of-continuous-learning-at-dimagi,,,yes,
celebrating-20-years-of-impact,,,yes,
climate-neutral-certified,,,yes,
commcare-eu-cloud-launch,,,yes,
commcare-fhir-integration,,,yes,
commcare-provider-program,,,yes,
design-thinking,,,yes,
different-kind-of-tech-company,,,yes,
digital-development-organizations-take-away-it-security-news,,,yes,
dimagi-climate-pledge-2021,,,yes,
dimagi-makes-the-inc-5000-list-for-the-tenth-time,,,yes,
dimagi-receives-25-million-to-develop-transformative-technology-for-frontline-workers,,,yes,
dimagi-renews-its-commitment-to-the-global-fund-with-a-5-million-pledge,,Infectious Disease Prevention & Control,yes,
dimagi-to-host-its-inaugural-commcare-enterprise-summit-to-drive-impact-delivery,,,yes,
dimagis-5-year-strategy,,,yes,
enterprise-summit-2023,,,yes,
expedite-your-case-management-workflows-introducing-case-list-explorer,,,yes,
gdhf-2024,,,yes,
global-fund-partnership,,Infectious Disease Prevention & Control,yes,
great-reset-social-enterprise-wef,,,yes,
gtd-summit-2024-recap,,,yes,
high-impact-growth-podcast,,,yes,
ict4d-conf-2024,,,yes,
inc-5000-list-2021,,,yes,
my-time-at-dimagi-as-an-intern,,,yes,
reflecting-on-2020,,,yes,
refreshing-dimagi-and-commcare-brands-for-high-impact-growth,,,yes,
riya-singh,,,yes,
sentinel-audacious-project-2020,,Infectious Disease Prevention & Control,yes,
solutions-remote-impact-covid-19,,Remote Engagement,,remote impact delivery
supporting-our-partners,,,yes,
tech-team-summit-2022,,,yes,
thriving-in-a-hybrid-world,,,yes,
two-big-lessons-that-iowa-and-geneva-can-teach-us-about-technology-in-digital-development,,,yes,
usaid-global-health-innovation-index-commcare-2020,,Service Delivery,yes,
what-we-learned-from-our-working-group-on-health-worker-wellbeing,,Mental Health,,health worker wellbeing
whats-new-in-commcare-fall-2025,,,yes,
work-life-balance-in-2022,,,yes,
zohaib-ali-khusru,,,yes,
tdh-covid-19-case-screening,India,Infectious Disease Prevention & Control,,COVID-19 screening
terre-des-hommes-covid-19-jharkhand,India,Infectious Disease Prevention & Control,,COVID-19 support
sierra-leone-directorate-of-science-technology-and-innovation-covid-19-response,Sierra Leone,Infectious Disease Prevention & Control,,COVID-19 response
who-covid-19-contact-tracing-template-application-released,,Infectious Disease Prevention & Control,,COVID-19 contact tracing
